record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2002-09-30,2001,Y,Liabilities,Federal employee and veteran benefits payable,3360.8,11,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Environmental and disposal liabilities,306.8,12,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Benefits due and payable,86.0,13,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Loan guarantee liabilities,27.7,14,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Other liabilities,188.1,15,2002,4,2002,3,09,30
2002-09-30,2001,Y,Liabilities,Total liabilities,7384.9,16,2002,4,2002,3,09,30
2002-09-30,2001,Y,Net position,Net position,-6458.8,17,2002,4,2002,3,09,30
2002-09-30,2001,Y,Net position,Total liabilities and net position,926.1,18,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,Cash and other monetary assets,108.0,1,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,"Accounts receivable, net",34.2,2,2002,4,2002,3,09,30
2002-09-30,2001,Y,Assets,"Loans receivable, net",208.9,3,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,"Loans receivable, net",219.2,3,2002,4,2002,3,09,30
2003-09-30,2002,Y,Assets,Other assets,65.4,7,2003,4,2003,3,09,30
2003-09-30,2003,N,Assets,Total assets,1393.9,8,2003,4,2003,3,09,30
2003-09-30,2002,Y,Assets,Total assets,996.5,8,2003,4,2003,3,09,30
2003-09-30,2003,N,Liabilities,Accounts payable,62.2,9,2003,4,2003,3,09,30
2003-09-30,2002,Y,Liabilities,Accounts payable,55.8,9,2003,4,2003,3,09,30
2003-09-30,2003,N,Liabilities,Federal debt securities held by the public and accrued interest,3944.9,10,2003,4,2003,3,09,30
